,Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
3712,4813,148,3,73.9,2,2,2,222,6,At-Risk/Occasional
3608,4706,37,3,73.9,4,2,2,422,8,Active Customers
3461,4558,269,3,73.89999999999999,2,2,2,222,6,At-Risk/Occasional
2960,4041,75,3,73.89999999999999,3,2,2,322,7,At-Risk/Occasional
19,1020,78,3,73.84,3,2,2,322,7,At-Risk/Occasional
2945,4025,56,4,73.82,4,3,2,432,9,Active Customers
1913,2969,22,4,73.7,4,3,2,432,9,Active Customers
98,1102,186,4,73.69999999999999,2,3,2,232,7,At-Risk/Occasional
2516,3587,147,5,73.62,2,4,2,242,8,Loyal Customers
118,1123,48,4,73.60000000000001,4,3,2,432,9,Active Customers
1149,2181,190,3,73.6,2,2,2,222,6,At-Risk/Occasional
2574,3645,18,4,73.5,4,3,2,432,9,Active Customers
1978,3034,222,5,73.5,2,4,2,242,8,Loyal Customers
654,1670,38,3,73.5,4,2,2,422,8,Active Customers
18,1019,385,1,73.5,1,1,2,112,4,At-Risk/Occasional
1262,2299,50,3,73.47,4,2,2,422,8,Active Customers
2256,3320,627,3,73.4,1,2,2,122,5,At-Risk/Occasional
1214,2250,76,2,73.4,3,1,2,312,6,At-Risk/Occasional
1000,2025,412,3,73.4,1,2,2,122,5,At-Risk/Occasional
1321,2360,315,3,73.3,1,2,2,122,5,At-Risk/Occasional
1505,2553,163,6,73.23,2,4,2,242,8,Loyal Customers
3406,4501,198,5,73.22,2,4,2,242,8,Loyal Customers
187,1194,231,3,73.2,2,2,2,222,6,At-Risk/Occasional
1023,2048,14,6,73.2,4,4,2,442,10,Loyal Customers
3635,4733,296,4,73.14,1,3,2,132,6,At-Risk/Occasional
3340,4432,96,5,73.1,3,4,2,342,9,Loyal Customers
3550,4648,83,4,73.1,3,3,2,332,8,At-Risk/Occasional
2573,3644,89,3,73.0,3,2,2,322,7,At-Risk/Occasional
2146,3208,40,5,73.0,4,4,2,442,10,Loyal Customers
456,1467,132,2,73.0,3,1,2,312,6,At-Risk/Occasional
1652,2703,100,4,73.0,3,3,2,332,8,At-Risk/Occasional
901,1924,43,6,72.99000000000001,4,4,2,442,10,Loyal Customers
607,1622,294,4,72.96,1,3,2,132,6,At-Risk/Occasional
1654,2705,44,3,72.94,4,2,2,422,8,Active Customers
1116,2146,193,3,72.9,2,2,2,222,6,At-Risk/Occasional
3874,4977,132,2,72.85,3,1,2,312,6,At-Risk/Occasional
3339,4431,44,5,72.80000000000001,4,4,2,442,10,Loyal Customers
133,1139,345,4,72.8,1,3,2,132,6,At-Risk/Occasional
3267,4357,81,3,72.8,3,2,2,322,7,At-Risk/Occasional
1845,2900,263,4,72.72,2,3,2,232,7,At-Risk/Occasional
1510,2559,429,3,72.7,1,2,2,122,5,At-Risk/Occasional
3314,4405,161,2,72.69999999999999,2,1,2,212,5,At-Risk/Occasional
735,1756,98,4,72.60000000000001,3,3,2,332,8,At-Risk/Occasional
3380,4474,20,4,72.5,4,3,2,432,9,Active Customers
2002,3058,156,3,72.4,2,2,2,222,6,At-Risk/Occasional
3325,4416,7,7,72.3,4,4,2,442,10,Loyal Customers
3627,4725,28,4,72.22,4,3,2,432,9,Active Customers
3518,4616,136,6,72.2,3,4,2,342,9,Loyal Customers
2332,3400,301,3,72.2,1,2,2,122,5,At-Risk/Occasional
2576,3647,302,2,72.2,1,1,2,112,4,At-Risk/Occasional
2208,3271,3,3,72.19999999999999,4,2,2,422,8,Active Customers
812,1834,38,3,72.16,4,2,2,422,8,Active Customers
3759,4860,411,6,72.16,1,4,2,142,7,Loyal Customers
2851,3928,95,3,72.11999999999999,3,2,2,322,7,At-Risk/Occasional
2664,3736,33,4,72.1,4,3,2,432,9,Active Customers
3031,4114,145,4,72.1,2,3,2,232,7,At-Risk/Occasional
1077,2105,343,2,72.06,1,1,2,112,4,At-Risk/Occasional
3383,4478,26,3,72.05,4,2,2,422,8,Active Customers
915,1938,236,4,72.0,2,3,2,232,7,At-Risk/Occasional
1566,2616,228,4,72.0,2,3,2,232,7,At-Risk/Occasional
2010,3066,24,6,72.0,4,4,2,442,10,Loyal Customers
1630,2681,242,3,72.0,2,2,2,222,6,At-Risk/Occasional
71,1074,75,5,71.96000000000001,3,4,2,342,9,Loyal Customers
1610,2661,243,4,71.9,2,3,2,232,7,At-Risk/Occasional
674,1693,3,4,71.9,4,3,2,432,9,Active Customers
1775,2829,11,3,71.9,4,2,2,422,8,Active Customers
360,1370,178,3,71.9,2,2,2,222,6,At-Risk/Occasional
3777,4878,100,3,71.8,3,2,2,322,7,At-Risk/Occasional
2245,3309,63,7,71.67,3,4,2,342,9,Loyal Customers
1752,2804,346,4,71.6,1,3,2,132,6,At-Risk/Occasional
1327,2366,134,4,71.5,3,3,2,332,8,At-Risk/Occasional
3764,4865,408,2,71.5,1,1,2,112,4,At-Risk/Occasional
1921,2977,44,4,71.5,4,3,2,432,9,Active Customers
14,1015,240,3,71.4,2,2,2,222,6,At-Risk/Occasional
2690,3762,132,5,71.4,3,4,2,342,9,Loyal Customers
3434,4529,220,4,71.36,2,3,2,232,7,At-Risk/Occasional
2318,3384,31,5,71.35,4,4,2,442,10,Loyal Customers
3552,4650,381,5,71.32,1,4,2,142,7,Loyal Customers
1735,2786,280,3,71.30000000000001,2,2,2,222,6,At-Risk/Occasional
1368,2412,292,2,71.30000000000001,1,1,2,112,4,At-Risk/Occasional
3161,4246,29,3,71.3,4,2,2,422,8,Active Customers
3795,4896,67,3,71.3,3,2,2,322,7,At-Risk/Occasional
